"PubOrder","SiteName","CRA","Error","LabID","Problems","Material","Reference","OccCRA","OccError"
1,"Toca do Sitio do Meio",12440,230,"Gif-5403",,"Charcoal","Guidon, 1986",12440,230
2,"Toca do Gordo do Garrincho",12210,40,"Beta-136204",,"Human teeth","Guidon et al., 2000",12210,40
3,"Lapa do Boquete",12070,170,"CDTN-2403",,"Charcoal","Fogaça, 2001",12053,148
4,"Lapa do Boquete",12000,300,"CDTN-1084",,"Charcoal","Prous and Fogaça, 1999",,
5,"Caverna da Pedra Pintada",11145,135,"GX-17413",,"Seed","Roosevelt et al., 1996",11145,135
6,"Lapa do Dragao",11000,300,"CDTN-1007",,"Charcoal","Prous et al., 1996/1997",11000,300
7,"Lapa do Boquete",11440,240,"CDTN-1080",,"Charcoal","Prous, 1991",11303,127
8,"Lapa do Boquete",11250,150,"CDTN-2697",,"Charcoal","Prous, 1991",,
9,"Lapa do Boquete",11000,232,"CDTN-1003",,"Charcoal","Prous, 1991",11000,232
10,"Caverna da Pedra Pintada",10905,295,"GX-17407",,"Seed","Roosevelt et al., 1996",10890,208
11,"Caverna da Pedra Pintada",10875,295,"GX-17414",,"Seed","Roosevelt et al., 1996",,
12,"Caverna da Pedra Pintada",10683,80,"NZA-9898",,"Seed","Roosevelt et al., 2002",10606,47
13,"Caverna da Pedra Pintada",10655,285,"GX-17420",,"Seed","Roosevelt et al., 1996",,
14,"Caverna da Pedra Pintada",10560,60,"Beta-76953",,"Seed","Roosevelt et al., 1996",,
15,"Caverna da Pedra Pintada",10450,60,"Beta-76952",,"Charcoal","Roosevelt et al., 1996",10372,23
16,"Caverna da Pedra Pintada",10470,70,"GX-19537",,"Seed","Roosevelt et al., 1996",,
17,"Caverna da Pedra Pintada",10410,60,"GX-19538",,"Seed","Roosevelt et al., 1996",,
18,"Caverna da Pedra Pintada",10392,78,"GX-17400",,"Seed","Roosevelt et al., 1996",,
19,"Caverna da Pedra Pintada",10390,70,"GX-19538",,"Seed","Roosevelt et al., 1996",,
20,"Caverna da Pedra Pintada",10360,70,"GX-19536",,"Seed","Roosevelt et al., 1996",,
21,"Caverna da Pedra Pintada",10305,275,"GX-17422",,"Seed","Roosevelt et al., 1996",,
22,"Caverna da Pedra Pintada",10275,275,"GX-17421",,"Seed","Roosevelt et al., 1996",,
23,"Caverna da Pedra Pintada",10261,62,"NZA-9897",,"Seed","Roosevelt et al., 2002",,
24,"Caverna da Pedra Pintada",10250,70,"GX-19537",,"Seed","Roosevelt et al., 1996",,
25,"Santa Elina",10120,60,"Gif-8954",,"Charcoal","Vialou, 2005",10120,60
26,"MT-SL-31-Morro da Janela",10080,80,"Beta-78053",,"Charcoal","Wust, 1990",10080,80
27,"Miracema do Tocantins 1",10530,90,"Beta-190080",,"Charcoal","Bueno, 2007",10530,90
28,"Capivara 5",10050,80,"Beta-179196",,"Charcoal","Bueno, 2007",10050,80
29,"Lajeado 18",10300,60,"Beta-179198",,"Charcoal","Bueno, 2007",10300,60
30,"GO-JA-01",10580,115,"SI-3699",,"Charcoal","Schmitz, 1987",10501,86
31,"GO-JA-01",10400,130,"N-2348",,"Charcoal","Schmitz, 1987; Schmitz",,
32,"GO-JA-02",10120,80,"SI-3108",,"Charcoal","Schmitz, 1987",10120,80
33,"GO-JA-14",10740,85,"SI-3111",,"Charcoal","Schmitz, 1987",10740,85
34,"GO-NI-49",10750,300,"SI-2769",,"Charcoal","Barbosa et al., 1976e77",10750,300
35,"MS-PA-02",10340,110,"Beta-22645",,"Charcoal","Veroneze, 1992",10432,65
36,"MS-PA-02",10480,80,"Beta-47240",,"Charcoal","Veroneze, 1992",,
37,"MS-PA-02",10090,70,"Beta-22634",,"Charcoal","Veroneze, 1992",10090,70
38,"Boqueirao da Pedra",10454,114,"FZ-430",,"Charcoal","Parenti, 1996",10439,96
39,"Furada",10400,180,"Gif-5862",,"Charcoal","Parenti, 1996",,
