Sitename,Labcode,Longitude,Latitude,Yrs BP,STD
84M31,AA1377,28.5,22.33,6120,100
Abka,M804,31.2,21.83,8260,400
Abka,M803,31.2,21.83,5960,400
Abka,M802,31.2,21.83,4470,300
Abka,M801,31.2,21.83,4500,350
Abka,M795,31.2,21.83,9450,400
Abka,M794,31.2,21.83,9175,400
Abka,x344,31.2,21.83,5330,80
Abka,x343,31.2,21.83,4935,130
Abouleg,UW88,5.98,23.65,5090,80
Abouleg,Mc472,5.98,23.65,5130,110
Abouleg 1,Gif465,5.98,23.65,4600,250
Abouleg 2,UW89,5.98,23.65,6830,80
Abrid Afalou,Lyon3228,5.07,36.69,12400,230
Abrid Afalou,Lyon3227,5.07,36.69,11450,230
Abrid Afalou,Gif6532,5.07,36.69,12020,170
Abrid Afalou,Alger0008,5.07,36.69,13120,370
Abu Ballas,SMU490,27.65,24.43,7790,350
Abu Ballas,KN3998,27.65,24.43,7710,75
Abu Ballas,KN3897,27.65,24.43,7360,75
Abu Ballas,KN3723-A,27.65,24.43,7660,80
Abu Ballas,KN3722,27.65,24.43,7500,1000
Abu Ballas,KN3635b,27.65,24.43,7550,75
Abu Ballas,KN3633,27.65,24.43,7700,100
Abu Ballas,KN3479,27.65,24.43,6880,70
Abu Ballas,KIA23062,27.65,24.43,3095,30
Abu Ballas,KIA20684,27.65,24.43,3785,25
Abu Ballas,KIA20682,27.65,24.43,3675,35
Abu Ballas,Hv8694,27.65,24.43,7790,340
Abu Ballas,Hv8693,27.65,24.43,9260,370
Abu Ballas,Hv8691,27.65,24.43,8210,115
Abu Ballas,Hv8690,27.65,24.43,7400,275
Abu Ballas,Hv8318,27.65,24.43,10100,255
Abu Ballas,Hv11645,27.65,24.43,7560,85
Abu Ballas,Hv11590,27.65,24.43,6625,115
Abu Ballas,Hv11589a,27.65,24.43,10850,1100
Abu Ballas,Hv11589,27.65,24.43,9510,735
Abu Ballas,Hv11588,27.65,24.43,7030,435
Abu Ballas,Hv11587,27.65,24.43,7615,135
Abu Ballas sw,Hv8241,27.65,24.43,6405,325
Abu Darbein,T8626,34,17.7,8330,100
Abu Darbein,T8624,34,17.7,8640,100
Abu Darbein,T8525,34,17.7,8390,70
Abu Darbein,T6381,34,17.7,8500,100
Abu Darbein,T5728,34,17.7,7700,100
Abu Darbein,T5727,34,17.7,7860,100
Abu Gerara,UtC9459,29.38,26.56,6597,42
Abu Gerara,Erl2858,29.38,26.56,6605,74
Abu Minqar,UtC8218,27.66,26.51,6841,42
Abu Minqar,UtC8217,27.66,26.51,4561,38
Abu Minqar,KN4294,27.66,26.51,6087,54
Abu Minqar,KN4259,27.66,26.51,5620,160
Abu Minqar,KN4187,27.66,26.51,6720,90
Abu Minqar,KN4186,27.66,26.51,6430,80
Abu Minqar,KN4184,27.66,26.51,6110,80
Abu Minqar,KN4025,27.66,26.51,8040,80
Abu Minqar,KN3992,27.66,26.51,6390,60
Abu Minqar,KN3882,27.66,26.51,8210,70
Abu Minqar,KN3836,27.66,26.51,8450,70
Abu Minqar,KN3783,27.66,26.51,6600,60
Abu Minqar,KN3724,27.66,26.51,7840,160
Abu Minqar,KN3711,27.66,26.51,6830,70
Abu Minqar,KN3710,27.66,26.51,7060,100
Abu Minqar,KN3709,27.66,26.51,6740,100
Abu Minqar,KN3553,27.66,26.51,6500,70
Abu Minqar,KN3552,27.66,26.51,7240,70
Abu Minqar,KN3357,27.66,26.51,7790,65
Abu Minqar,KN3198,27.66,26.51,6530,100
Abu Minqar,KN3142,27.66,26.51,6380,60
Abu Minqar,KN3141,27.66,26.51,6520,60
Abu Minqar,KN3140,27.66,26.51,6350,500
Abu Minqar,KN3017,27.66,26.51,7900,70
Abu Minqar,Hv13111,27.66,26.51,6885,270
Abu Minqar,Hv13110,27.66,26.51,7075,220
Abu Nuss FAII,R1894,26,27.33,6950,60
Abu Nuss FAIII,R1895,26,27.33,6670,95
Abu Tabari,Poz11208,28.29,17.42,5055,35
Abu Tabari,Poz11206,28.29,17.42,4880,40
Abu Tabari,Poz11202,28.29,17.42,4345,35
Abu Tabari,Poz11201,28.29,17.42,4350,35
